currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic
dji,7/1/2017,21229.13095,178.8994331,21479.26953,1,62569.3113,250.1385842,0.011645582,Inf,3,4,0,-276.395234
bitcoin,7/1/2017,2513.243275,372.5474515,2434.55,1,6192.631597,78.69327543,0.03232354,Inf,1,0,0,-104.2173956
ethereum,7/1/2017,294.92,80.25608298,274.6,1,412.9024,20.32,0.073998543,Inf,0,0,1,-70.45571592
dji,7/2/2017,21420.24378,224.5106446,21479.26953,1,3484.039386,59.02575189,0.002748033,Inf,5,4,0,-266.0419089
bitcoin,7/2/2017,2481.341094,363.4941965,2506.47,1,631.4618948,25.12890556,0.010025616,Inf,1,0,0,-104.9483688
ethereum,7/2/2017,274.6,76.08081125,287.99,1,179.2921,13.39,0.04649467,Inf,0,0,1,-69.42036745
dji,7/3/2017,21388.84148,226.4483794,21479.26953,1,8177.231988,90.42804868,0.004210015,Inf,5,3,0,-265.6297841
bitcoin,7/3/2017,2538.909269,370.5553762,2564.06,1,632.5592564,25.15073073,0.009808948,Inf,1,0,0,-105.2283468
ethereum,7/3/2017,287.99,80.4184455,282.9,1,25.9081,5.09,0.017992223,Inf,0,0,1,-68.96869809
dji,7/4/2017,21437.03504,222.9426424,21478.16992,1,1692.078367,41.13488017,0.001915195,Inf,5,4,0,-265.5027079
bitcoin,7/4/2017,2582.15309,376.8690781,2601.64,1,379.7396521,19.48690976,0.007490241,Inf,1,0,0,-105.2605879
ethereum,7/4/2017,282.9,76.88976885,273.3,1,92.16,9.6,0.035126235,Inf,0,0,1,-70.52714563
dji,7/5/2017,21482.87794,226.6954107,21478.16992,1,22.16547192,4.708022082,0.0002192,Inf,5,4,0,-265.136674
bitcoin,7/5/2017,2612.847044,363.8473778,2601.99,1,117.8754007,10.85704383,0.004172592,Inf,1,0,0,-108.0408031
ethereum,7/5/2017,273.3,74.5581449,268.77,1,20.5209,4.53,0.01685456,Inf,0,0,1,-70.31213301
dji,7/6/2017,21485.8217,233.9913256,21320.03906,1,27483.88246,165.7826362,0.007775907,Inf,2,5,0,-265.2081304
bitcoin,7/6/2017,2614.390078,354.9010237,2608.56,1,33.98981243,5.830078253,0.00223498,Inf,1,0,0,-109.4361205
ethereum,7/6/2017,268.77,72.35954995,270.55,1,3.1684,1.78,0.006579191,Inf,0,0,1,-71.07413249
dji,7/7/2017,21385.52011,223.0356644,21414.33984,1,830.5767914,28.8197292,0.001345815,Inf,4,5,0,-264.8333668
bitcoin,7/7/2017,2615.608491,339.7988665,2518.66,1,9399.009829,96.9484906,0.038492091,Inf,1,0,0,-112.1470572
ethereum,7/7/2017,270.55,72.6886621,245.99,1,603.1936,24.56,0.099841457,Inf,0,0,1,-71.1930719
dji,7/8/2017,21335.56522,226.7296311,21408.51953,1,5322.331165,72.95430875,0.003407723,Inf,3,5,0,-265.5039711
bitcoin,7/8/2017,2547.224797,337.3108805,2571.34,1,581.543034,24.11520338,0.009378458,Inf,1,0,0,-110.9701267
ethereum,7/8/2017,245.99,68.23239083,251.7,1,32.6041,5.71,0.022685737,Inf,0,0,1,-69.35420867
dji,7/9/2017,21344.13275,197.7104196,21408.51953,1,4145.657333,64.38677918,0.003007531,Inf,5,4,0,-272.0075903
bitcoin,7/9/2017,2586.566946,342.314927,2518.44,1,4641.280793,68.12694616,0.027051248,Inf,1,0,0,-111.065594
ethereum,7/9/2017,251.7,68.60443317,242.14,1,91.3936,9.56,0.039481292,Inf,0,0,1,-70.36343413
dji,7/10/2017,21365.18325,195.9487086,21408.51953,1,1878.033583,43.33628483,0.002024254,Inf,4,4,0,-270.9782664
bitcoin,7/10/2017,2545.161071,339.2080248,2372.56,1,29791.12962,172.6010707,0.072748875,Inf,1,0,0,-110.5627944
ethereum,7/10/2017,242.14,58.07756398,215.36,1,717.1684,26.78,0.124349926,Inf,0,0,1,-77.73904923
dji,7/11/2017,21391.36301,171.3097484,21409.07031,1,313.5486408,17.70730473,0.000827094,Inf,5,5,0,-276.9429504
bitcoin,7/11/2017,2441.028611,343.4779988,2337.79,1,10658.2107,103.2386105,0.044160772,Inf,1,0,0,-107.4797002
ethereum,7/11/2017,215.36,54.83919444,197.4,1,322.5616,17.96,0.090982776,Inf,0,0,1,-74.28634174
dji,7/12/2017,21404.86653,157.3995457,21532.14063,1,16198.69631,127.2740991,0.005910889,Inf,5,5,0,-282.0771332
bitcoin,7/12/2017,2405.363366,280.9015906,2398.84,1,42.55430802,6.52336631,0.002719384,Inf,1,0,0,-118.6459538
ethereum,7/12/2017,197.4,46.05307886,230.77,1,1113.5569,33.37,0.144602851,Inf,0,0,1,-79.33828244
dji,7/13/2017,21406.35455,168.2760818,21553.08984,1,21531.24659,146.7352943,0.006808086,Inf,5,5,0,-279.9790843
bitcoin,7/13/2017,2446.568701,285.624598,2357.9,1,7862.138527,88.66870094,0.037604945,Inf,1,0,0,-118.6440516
ethereum,7/13/2017,230.77,59.92610901,209.73,1,442.6816,21.04,0.100319458,Inf,0,0,1,-73.15592612
dji,7/14/2017,21486.78457,196.787487,21637.74023,1,22787.61263,150.9556644,0.006976499,Inf,5,4,0,-274.0405525
bitcoin,7/14/2017,2395.482836,251.6667358,2233.34,1,26290.29942,162.1428365,0.072601053,Inf,1,0,0,-124.7224058
ethereum,7/14/2017,209.73,54.19553407,199.66,1,101.4049,10.07,0.050435741,Inf,0,0,1,-73.43931896
dji,7/15/2017,21543.40286,208.2585308,21629.7207,1,7450.768779,86.31783581,0.003990705,Inf,5,5,0,-269.8975351
bitcoin,7/15/2017,2268.952123,258.6348051,1998.86,1,72949.75467,270.0921226,0.135123081,Inf,1,0,0,-119.4377197
ethereum,7/15/2017,199.66,52.07906442,170.66,1,841,29,0.169928513,Inf,0,0,1,-72.89889772
dji,7/16/2017,21514.78567,212.6282946,21629.7207,1,13210.06042,114.935027,0.005313755,Inf,5,4,0,-268.7665396
bitcoin,7/16/2017,1998.86,283.5512383,1929.82,1,4766.5216,69.04,0.035775357,Inf,0,0,1,-108.111054
ethereum,7/16/2017,170.66,48.56292273,157.36,1,176.89,13.3,0.084519573,Inf,0,0,1,-67.88142528
dji,7/17/2017,21545.5892,202.3203187,21629.7207,1,7078.110027,84.13150437,0.003889625,Inf,3,5,0,-272.1626516
bitcoin,7/17/2017,1927.452163,253.9104593,2228.41,1,90575.61994,300.9578375,0.135054966,Inf,0,1,1,-109.9832637
ethereum,7/17/2017,157.36,45.65827971,193.42,1,1300.3236,36.06,0.186433668,Inf,0,0,1,-66.76029631
dji,7/18/2017,21569.50464,197.9623132,21574.73047,1,27.3092541,5.225825686,0.00024222,Inf,5,5,0,-272.393419
bitcoin,7/18/2017,2470.65772,311.7533912,2318.88,1,23036.47627,151.77772,0.065453029,Inf,0,3,0,-103.787339
ethereum,7/18/2017,193.42,63.22853956,234.39,1,1678.5409,40.97,0.174794147,Inf,0,0,1,-59.89805722
dji,7/19/2017,21588.25839,210.1725476,21640.75,1,2755.368687,52.49160588,0.002425591,Inf,5,5,0,-270.1419981
bitcoin,7/19/2017,2384.018142,318.8804575,2273.43,1,12229.73704,110.5881415,0.048643742,Inf,0,3,0,-100.3110719
ethereum,7/19/2017,234.39,83.46125827,199.7,1,1203.3961,34.69,0.173710566,Inf,0,0,1,-54.9859603
dji,7/20/2017,21568.59767,195.6678911,21611.7793,1,1864.653557,43.18163448,0.00199806,Inf,5,5,0,-272.621628
bitcoin,7/20/2017,2224.778893,336.7121292,2817.6,1,351436.8654,592.8211075,0.210399314,Inf,2,0,1,-99.18620729
ethereum,7/20/2017,181.6293397,62.039758,227.26,1,2082.157155,45.63066025,0.200786149,Inf,2,0,1,-52.16822597
dji,7/21/2017,21608.60706,166.4733844,21580.07031,1,814.3462494,28.53675261,0.001322366,Inf,5,5,0,-279.0844349
bitcoin,7/21/2017,3024.839251,623.3980465,2667.76,1,127505.5916,357.0792511,0.133849841,Inf,1,1,0,-81.18437122
ethereum,7/21/2017,227.26,87.15020145,218.31,1,80.1025,8.95,0.040996748,Inf,0,0,1,-50.73349563
dji,7/22/2017,21538.84336,161.6246847,21513.16992,1,659.1254001,25.67343764,0.001193382,Inf,5,5,0,-280.4796323
bitcoin,7/22/2017,2623.893371,573.8620069,2810.12,1,34680.35717,186.2266285,0.066269992,Inf,1,0,0,-80.88789513
ethereum,7/22/2017,218.31,83.96676047,229.48,1,124.7689,11.17,0.048675266,Inf,0,0,1,-50.56349257
dji,7/23/2017,21529.74751,162.2864398,21513.16992,1,274.8164875,16.57758992,0.000770579,Inf,5,5,0,-280.1846252
bitcoin,7/23/2017,2739.500217,612.5929711,2730.4,1,82.81395835,9.100217489,0.003332925,Inf,1,0,0,-79.49154235
ethereum,7/23/2017,229.48,88.6249072,225.95,1,12.4609,3.53,0.015622925,Inf,0,0,1,-50.32901007
dji,7/24/2017,21497.89922,162.4061267,21513.16992,1,233.1943997,15.27070397,0.00070983,Inf,5,5,0,-280.2445225
bitcoin,7/24/2017,2670.898779,586.4845687,2754.86,1,7049.486624,83.96122095,0.030477491,Inf,1,0,0,-80.63387361
ethereum,7/24/2017,225.95,86.83160627,224.71,1,1.5376,1.24,0.005518223,Inf,0,0,1,-50.61208632
dji,7/25/2017,21452.10138,162.2402418,21613.42969,1,26026.82211,161.3283054,0.007464262,Inf,5,5,0,-280.1468275
bitcoin,7/25/2017,2692.837696,593.0603709,2576.48,1,13539.11338,116.3576958,0.045161498,Inf,1,0,0,-80.42210667
ethereum,7/25/2017,224.71,85.68145579,206.71,1,324,18,0.087078516,Inf,0,0,1,-51.06089487
dji,7/26/2017,21589.81782,185.906672,21711.00977,1,14687.48808,121.1919473,0.00558205,Inf,4,5,0,-272.3169371
bitcoin,7/26/2017,2550.85921,562.2665466,2529.45,1,458.3542846,21.40921028,0.008463978,Inf,1,0,0,-80.43978962
ethereum,7/26/2017,206.71,78.1813967,203.95,1,7.6176,2.76,0.013532729,Inf,0,0,1,-51.52581599
dji,7/27/2017,21654.55358,197.0731663,21796.55078,1,20163.20559,141.9972028,0.006514664,Inf,4,5,0,-268.5719335
bitcoin,7/27/2017,2517.284879,553.602119,2671.78,1,23868.74246,154.4951212,0.057824791,Inf,1,0,0,-80.57088984
ethereum,7/27/2017,203.95,76.39934667,204.32,1,0.1369,0.37,0.001810885,Inf,0,0,1,-52.07710234
dji,7/28/2017,21792.23796,206.6378925,21830.31055,1,1449.522031,38.07258897,0.001744024,Inf,5,5,0,-270.0334622
bitcoin,7/28/2017,2627.116315,588.1268472,2809.01,1,33085.31263,181.893685,0.064753662,Inf,1,0,0,-79.49169213
ethereum,7/28/2017,204.32,74.65066959,193.12,1,125.44,11.2,0.057995029,Inf,0,0,1,-53.50908411
dji,7/29/2017,21808.59877,198.2757431,21891.11914,1,6809.611386,82.52036952,0.003769582,Inf,4,5,0,-272.5492575
bitcoin,7/29/2017,2736.927289,624.645075,2726.45,1,109.7735819,10.47728886,0.003842832,Inf,1,0,0,-78.27895591
ethereum,7/29/2017,193.12,70.10832213,205.79,1,160.5289,12.67,0.061567617,Inf,0,0,1,-53.87641333
dji,7/30/2017,21854.7593,206.254472,21891.11914,1,1322.037725,36.35983671,0.00166094,Inf,5,5,0,-270.4100116
bitcoin,7/30/2017,2673.076124,608.8969522,2757.18,1,7073.461894,84.10387562,0.030503585,Inf,1,0,0,-78.39933522
ethereum,7/30/2017,205.79,75.21708877,197.98,1,60.9961,7.81,0.039448429,Inf,0,0,1,-53.48670315
dji,7/31/2017,21869.92327,171.3351241,21891.11914,1,449.2649182,21.19587031,0.000968241,Inf,5,5,0,-279.8409148
bitcoin,7/31/2017,2700.292959,617.0664801,2875.34,1,30641.46652,175.0470409,0.060878728,Inf,1,0,0,-78.16873987
ethereum,7/31/2017,197.98,71.83265453,203.87,1,34.6921,5.89,0.02889096,Inf,0,0,1,-53.90834965
dji,8/1/2017,21879.37849,171.9891099,21963.91992,1,7147.253938,84.54143326,0.003849105,Inf,5,5,0,-279.6789926
bitcoin,8/1/2017,2803.832347,648.4083797,2718.26,1,7322.626652,85.57234747,0.03148056,Inf,1,0,0,-77.37804561
ethereum,8/1/2017,203.87,73.75533976,226.77,1,524.41,22.9,0.100983375,Inf,0,0,1,-54.0748846
dji,8/2/2017,21941.19582,179.3171633,22016.24023,1,5631.663251,75.04440853,0.003408593,Inf,5,5,0,-277.2924104
bitcoin,8/2/2017,2678.481749,621.316019,2710.67,1,1036.083502,32.18825099,0.011874648,Inf,1,0,0,-77.2442601
ethereum,8/2/2017,226.1921548,78.88463944,219.95,1,38.96449606,6.242154761,0.028379881,Inf,1,0,0,-53.00977892
dji,8/3/2017,22061.82373,179.024081,22026.09961,1,1276.212458,35.72411592,0.001621899,Inf,5,5,0,-277.3716594
bitcoin,8/3/2017,2674.878934,620.4379625,2804.73,1,16861.29945,129.8510664,0.046297172,Inf,1,0,0,-77.23333339
ethereum,8/3/2017,220.1467493,75.80664488,225.34,1,26.96985294,5.19325071,0.023046289,Inf,1,0,0,-53.90723228
dji,8/4/2017,21986.56229,180.6481696,22092.81055,1,11288.69228,106.2482578,0.004809178,Inf,5,5,0,-276.980878
bitcoin,8/4/2017,2753.311355,644.7733239,2895.89,1,20328.67011,142.5786453,0.049234828,Inf,1,0,0,-76.62277015
ethereum,8/4/2017,223.2920976,76.13838541,223.07,1,0.049327339,0.222097588,0.000995641,Inf,1,0,0,-54.59860997
dji,8/5/2017,22096.25405,157.1022419,22118.41992,1,491.3256041,22.16586574,0.001002145,Inf,5,5,0,-284.8146292
bitcoin,8/5/2017,2833.070778,670.257222,3252.91,1,176264.9722,419.8392219,0.129065736,Inf,1,0,0,-75.95071248
ethereum,8/5/2017,220.9013782,74.70829372,256.51,1,1267.973944,35.60862177,0.138819624,Inf,1,0,0,-55.18865484
dji,8/6/2017,22121.37732,152.9245277,22118.41992,1,8.746208434,2.95739893,0.000133708,Inf,5,4,0,-287.5842896
bitcoin,8/6/2017,3252.91,854.1247738,3213.94,1,1518.6609,38.97,0.012125304,Inf,0,0,1,-72.51681853
ethereum,8/6/2017,239.5982014,81.5403527,261.57,1,482.7599341,21.97179861,0.083999689,Inf,1,0,0,-54.904887
dji,8/7/2017,22092.68122,150.5750817,22118.41992,1,662.4805511,25.73869754,0.001163677,Inf,3,5,0,-287.8482286
bitcoin,8/7/2017,3213.94,842.9627871,3378.94,1,27225,165,0.048831882,Inf,0,0,1,-72.58037766
ethereum,8/7/2017,244.429218,84.18948619,269.18,1,612.6012088,24.75078198,0.091948815,Inf,1,0,0,-54.12742498
dji,8/8/2017,22092.84801,155.0339669,22085.33984,1,56.37263653,7.508171317,0.000339962,Inf,5,5,0,-287.1738398
bitcoin,8/8/2017,3378.94,893.3724438,3419.94,1,1681,41,0.011988514,Inf,0,0,1,-72.11808554
ethereum,8/8/2017,250.6819692,86.81287222,296.77,1,2124.106584,46.08803081,0.15529882,Inf,1,0,0,-53.74260757
dji,8/9/2017,22011.13345,137.0292537,22048.69922,1,1411.18707,37.56576992,0.001703764,Inf,5,5,0,-290.4928128
bitcoin,8/9/2017,3419.94,892.2965287,3342.47,1,6001.6009,77.47,0.023177471,Inf,0,0,1,-72.88314612
ethereum,8/9/2017,296.77,110.9784028,296.03,1,0.5476,0.74,0.002499747,Inf,0,0,1,-52.17578956
dji,8/10/2017,21995.52483,138.3252114,21844.00977,1,22956.81307,151.5150589,0.006936229,Inf,5,5,0,-289.8898634
bitcoin,8/10/2017,3342.47,873.1371302,3381.28,1,1506.2161,38.81,0.011477902,Inf,0,0,1,-72.81352899
ethereum,8/10/2017,296.03,109.0642163,295.89,1,0.0196,0.14,0.000473149,Inf,0,0,1,-53.03043349
dji,8/11/2017,21781.03259,164.9345028,21858.32031,1,5973.391341,77.28771792,0.003535849,Inf,4,5,0,-281.6052818
bitcoin,8/11/2017,3381.28,881.4307143,3650.62,1,72544.0356,269.34,0.073779248,Inf,0,0,1,-72.93409872
ethereum,8/11/2017,295.89,103.5750698,308.86,1,168.2209,12.97,0.041993136,Inf,0,0,1,-55.96695601
dji,8/12/2017,21720.77708,162.2830899,21993.71094,1,74492.89148,272.9338592,0.012409632,Inf,5,4,0,-280.805996
bitcoin,8/12/2017,3650.62,972.3508195,3884.71,1,54798.1281,234.09,0.060259324,Inf,0,0,1,-71.69263308
ethereum,8/12/2017,308.86,106.3605152,310.6,1,3.0276,1.74,0.005602061,Inf,0,0,1,-56.90665801
dji,8/13/2017,21980.06675,203.57201,21993.71094,1,186.1638554,13.6441876,0.000620368,Inf,4,3,0,-271.8412504
bitcoin,8/13/2017,3884.71,1038.281148,4073.26,1,35551.1025,188.55,0.046289704,Inf,0,0,1,-71.49348007
ethereum,8/13/2017,310.6,106.3759199,298.06,1,157.2516,12.54,0.042072066,Inf,0,0,1,-57.22103721
dji,8/14/2017,21909.16033,201.7768498,21993.71094,1,7148.806223,84.55061338,0.003844309,Inf,5,5,0,-272.0606565
bitcoin,8/14/2017,4073.26,1046.79847,4325.13,1,63438.4969,251.87,0.058234088,Inf,0,0,1,-73.75569517
ethereum,8/14/2017,298.06,96.54590997,300.1,1,4.1616,2.04,0.006797734,Inf,0,0,1,-60.42519517
dji,8/15/2017,22060.65972,204.1886914,21998.99023,1,3803.125911,61.6694893,0.002803287,Inf,4,4,0,-269.9034329
bitcoin,8/15/2017,4414.324904,965.4651817,4181.93,1,54007.39145,232.3949041,0.055571209,Inf,0,3,1,-73.68547546
ethereum,8/15/2017,300.1,95.56077168,289.82,1,105.6784,10.28,0.035470292,Inf,0,0,1,-61.40731609
dji,8/16/2017,22026.85324,201.2099082,22024.86914,1,3.936641426,1.984097131,9.01E-05,Inf,5,5,0,-270.9925275
bitcoin,8/16/2017,4181.93,997.0130693,4376.63,1,37908.09,194.7,0.044486283,Inf,0,0,1,-78.08700244
ethereum,8/16/2017,290.34513,65.84980503,302.27,1,142.2025241,11.92486998,0.039451054,Inf,0,2,1,-75.47884158
dji,8/17/2017,21985.66002,182.0917636,21750.73047,1,55191.89432,234.9295518,0.010800996,Inf,5,5,0,-274.1654425
bitcoin,8/17/2017,4376.63,1045.820196,4331.69,1,2019.6036,44.94,0.010374704,Inf,0,0,1,-77.95499725
ethereum,8/17/2017,294.4299788,64.30053826,301.46,1,49.42119839,7.030021223,0.023319914,Inf,0,2,1,-77.9184618
dji,8/18/2017,21590.17437,213.4442521,21674.50977,1,7112.460372,84.33540403,0.003890995,Inf,5,5,0,-265.1332494
bitcoin,8/18/2017,4331.69,1033.697411,4160.62,1,29264.9449,171.07,0.041116468,Inf,0,0,1,-78.03224231
ethereum,8/18/2017,301.46,65.08159212,295.59,1,34.4569,5.87,0.019858588,Inf,0,0,1,-83.81792509
dji,8/19/2017,21752.8521,217.0975434,21703.75,1,2411.01595,49.10209721,0.002262378,Inf,5,5,0,-264.4727327
bitcoin,8/19/2017,4160.62,758.4362369,4193.7,1,1094.2864,33.08,0.007888023,Inf,0,0,1,-93.59740236
ethereum,8/19/2017,295.59,57.5421193,297.47,1,3.5344,1.88,0.006319965,Inf,0,0,1,-89.79774698
dji,8/20/2017,21715.00127,221.8006876,21703.75,1,126.5910204,11.2512675,0.000518402,Inf,5,5,0,-264.2005951
bitcoin,8/20/2017,4193.7,746.3360839,4087.66,1,11244.4816,106.04,0.025941492,Inf,0,0,1,-94.98577759
ethereum,8/20/2017,297.47,57.26324856,301.43,1,15.6816,3.96,0.013137378,Inf,0,0,1,-90.44522684
dji,8/21/2017,21598.65734,211.43867,21703.75,1,11044.46696,105.0926589,0.004842143,Inf,5,5,0,-265.1169133
bitcoin,8/21/2017,4087.66,714.8347191,4001.74,1,7382.2464,85.92,0.02147066,Inf,0,0,1,-95.99896638
ethereum,8/21/2017,301.43,57.05110797,321.59,1,406.4256,20.16,0.062688516,Inf,0,0,1,-91.42455042
dji,8/22/2017,21749.22612,223.4861438,21899.89063,1,22699.79422,150.6645088,0.006879692,Inf,5,5,0,-264.5827858
bitcoin,8/22/2017,4001.74,697.5086428,4100.52,1,9757.4884,98.78,0.024089628,Inf,0,0,1,-96.18948004
ethereum,8/22/2017,321.59,62.63066034,314.79,1,46.24,6.8,0.021601703,Inf,0,0,1,-89.77267318
dji,8/23/2017,22042.24473,237.4417234,21812.08984,1,52971.27565,230.1548949,0.010551712,Inf,5,5,0,-261.8127362
bitcoin,8/23/2017,4100.52,717.9454847,4151.52,1,2601,51,0.012284657,Inf,0,0,1,-95.9294753
ethereum,8/23/2017,314.79,61.48984771,317.52,1,7.4529,2.73,0.008597884,Inf,0,0,1,-89.59986647
dji,8/24/2017,21747.37736,271.454931,21783.40039,1,1297.658342,36.02302516,0.001653692,Inf,5,4,0,-254.9149693
bitcoin,8/24/2017,4151.52,699.0156819,4334.68,1,33547.5856,183.16,0.042254561,Inf,0,0,1,-98.19064482
ethereum,8/24/2017,317.52,58.95938844,325.61,1,65.4481,8.09,0.024845674,Inf,0,0,1,-92.52921985
dji,8/25/2017,21814.04976,265.6779887,21813.66992,1,0.144277981,0.379839415,1.74E-05,Inf,5,5,0,-257.0980608
bitcoin,8/25/2017,4334.68,740.2297839,4371.6,1,1363.0864,36.92,0.00844542,Inf,0,0,1,-97.37397122
ethereum,8/25/2017,325.61,60.67257641,331.92,1,39.8161,6.31,0.019010605,Inf,0,0,1,-92.32776188
dji,8/26/2017,21918.99952,249.2915136,21808.40039,1,12232.16738,110.5991292,0.0050714,Inf,5,5,0,-260.4070389
bitcoin,8/26/2017,4371.6,726.330184,4352.4,1,368.64,19.2,0.004411359,Inf,0,0,1,-98.96158702
ethereum,8/26/2017,331.92,62.02141613,333.88,1,3.8416,1.96,0.005870373,Inf,0,0,1,-92.16615916
dji,8/27/2017,21792.38002,260.3060216,21808.40039,1,256.6523154,16.02037189,0.000734596,Inf,5,4,0,-258.6962831
bitcoin,8/27/2017,4352.4,705.5723569,4382.88,1,929.0304,30.48,0.006954331,Inf,0,0,1,-100.3848368
ethereum,8/27/2017,333.88,60.87266915,347.89,1,196.2801,14.01,0.04027135,Inf,0,0,1,-93.58795735
dji,8/28/2017,21850.15086,242.040146,21808.40039,1,1743.101755,41.75047011,0.001914421,Inf,5,4,0,-261.7061385
bitcoin,8/28/2017,4382.88,704.4356895,4382.66,1,0.0484,0.22,5.02E-05,Inf,0,0,1,-100.8820329
ethereum,8/28/2017,347.89,62.22190672,347.75,1,0.0196,0.14,0.000402588,Inf,0,0,1,-94.69749899
