date,bitcoin_price_Close
1/1/2017,998.33
1/2/2017,1021.75
1/3/2017,1043.84
1/4/2017,1154.73
1/5/2017,1013.38
1/6/2017,902.2
1/7/2017,908.59
1/8/2017,911.2
1/9/2017,902.83
1/10/2017,907.68
1/11/2017,777.76
1/12/2017,804.83
1/13/2017,823.98
1/14/2017,818.41
1/15/2017,821.8
1/16/2017,831.53
1/17/2017,907.94
1/18/2017,886.62
1/19/2017,899.07
1/20/2017,895.03
1/21/2017,921.79
1/22/2017,924.67
1/23/2017,921.01
1/24/2017,892.69
1/25/2017,901.54
1/26/2017,917.59
1/27/2017,919.75
1/28/2017,921.59
1/29/2017,919.5
1/30/2017,920.38
1/31/2017,970.4
2/1/2017,989.02
2/2/2017,1011.8
2/3/2017,1029.91
2/4/2017,1042.9
2/5/2017,1027.34
2/6/2017,1038.15
2/7/2017,1061.35
2/8/2017,1063.07
2/9/2017,994.38
2/10/2017,988.67
2/11/2017,1004.45
2/12/2017,999.18
2/13/2017,990.64
2/14/2017,1004.55
2/15/2017,1007.48
2/16/2017,1027.44
2/17/2017,1046.21
2/18/2017,1054.42
2/19/2017,1047.87
2/20/2017,1079.98
2/21/2017,1115.3
2/22/2017,1117.44
2/23/2017,1166.72
2/24/2017,1173.68
2/25/2017,1143.84
2/26/2017,1165.2
2/27/2017,1179.97
2/28/2017,1179.97
3/1/2017,1222.5
3/2/2017,1251.01
3/3/2017,1274.99
3/4/2017,1255.15
3/5/2017,1267.12
3/6/2017,1272.83
3/7/2017,1223.54
3/8/2017,1150
3/9/2017,1188.49
3/10/2017,1116.72
3/11/2017,1175.83
3/12/2017,1221.38
3/13/2017,1231.92
3/14/2017,1240
3/15/2017,1249.61
3/16/2017,1187.81
3/17/2017,1100.23
3/18/2017,973.82
3/19/2017,1036.74
3/20/2017,1054.23
3/21/2017,1120.54
3/22/2017,1049.14
3/23/2017,1038.59
3/24/2017,937.52
3/25/2017,972.78
3/26/2017,966.73
3/27/2017,1045.77
3/28/2017,1047.15
3/29/2017,1039.97
3/30/2017,1026.43
3/31/2017,1071.79
4/1/2017,1080.5
4/2/2017,1102.17
4/3/2017,1143.81
4/4/2017,1133.25
4/5/2017,1124.78
4/6/2017,1182.68
4/7/2017,1176.9
4/8/2017,1175.95
4/9/2017,1187.87
4/10/2017,1187.13
4/11/2017,1205.01
4/12/2017,1200.37
4/13/2017,1169.28
4/14/2017,1167.54
4/15/2017,1172.52
4/16/2017,1182.94
4/17/2017,1193.91
4/18/2017,1211.67
4/19/2017,1210.29
4/20/2017,1229.08
4/21/2017,1222.05
4/22/2017,1231.71
4/23/2017,1207.21
4/24/2017,1250.15
4/25/2017,1265.49
4/26/2017,1281.08
4/27/2017,1317.73
4/28/2017,1316.48
4/29/2017,1321.79
4/30/2017,1347.89
5/1/2017,1421.6
5/2/2017,1452.82
5/3/2017,1490.09
5/4/2017,1537.67
5/5/2017,1555.45
5/6/2017,1578.8
5/7/2017,1596.71
5/8/2017,1723.35
5/9/2017,1755.36
5/10/2017,1787.13
5/11/2017,1848.57
5/12/2017,1724.24
5/13/2017,1804.91
5/14/2017,1808.91
5/15/2017,1738.43
5/16/2017,1734.45
5/17/2017,1839.09
5/18/2017,1888.65
5/19/2017,1987.71
5/20/2017,2084.73
5/21/2017,2041.2
5/22/2017,2173.4
5/23/2017,2320.42
5/24/2017,2443.64
5/25/2017,2304.98
5/26/2017,2202.42
5/27/2017,2038.87
5/28/2017,2155.8
5/29/2017,2255.61
5/30/2017,2175.47
5/31/2017,2286.41
6/1/2017,2407.88
6/2/2017,2488.55
6/3/2017,2515.35
6/4/2017,2511.81
6/5/2017,2686.81
6/6/2017,2863.2
6/7/2017,2732.16
6/8/2017,2805.62
6/9/2017,2823.81
6/10/2017,2947.71
6/11/2017,2958.11
6/12/2017,2659.63
6/13/2017,2717.02
6/14/2017,2506.37
6/15/2017,2464.58
6/16/2017,2518.56
6/17/2017,2655.88
6/18/2017,2548.29
6/19/2017,2589.6
6/20/2017,2721.79
6/21/2017,2689.1
6/22/2017,2705.41
6/23/2017,2744.91
6/24/2017,2608.72
6/25/2017,2589.41
6/26/2017,2478.45
6/27/2017,2552.45
6/28/2017,2574.79
6/29/2017,2539.32
6/30/2017,2480.84
7/1/2017,2434.55
7/2/2017,2506.47
7/3/2017,2564.06
7/4/2017,2601.64
7/5/2017,2601.99
7/6/2017,2608.56
7/7/2017,2518.66
7/8/2017,2571.34
7/9/2017,2518.44
7/10/2017,2372.56
7/11/2017,2337.79
7/12/2017,2398.84
7/13/2017,2357.9
7/14/2017,2233.34
7/15/2017,1998.86
7/16/2017,1929.82
7/17/2017,2228.41
7/18/2017,2318.88
7/19/2017,2273.43
7/20/2017,2817.6
7/21/2017,2667.76
7/22/2017,2810.12
7/23/2017,2730.4
7/24/2017,2754.86
7/25/2017,2576.48
7/26/2017,2529.45
7/27/2017,2671.78
7/28/2017,2809.01
7/29/2017,2726.45
7/30/2017,2757.18
7/31/2017,2875.34
8/1/2017,2718.26
8/2/2017,2710.67
8/3/2017,2804.73
8/4/2017,2895.89
8/5/2017,3252.91
8/6/2017,3213.94
8/7/2017,3378.94
8/8/2017,3419.94
8/9/2017,3342.47
8/10/2017,3381.28
8/11/2017,3650.62
8/12/2017,3884.71
8/13/2017,4073.26
8/14/2017,4325.13
8/15/2017,4181.93
8/16/2017,4376.63
8/17/2017,4331.69
8/18/2017,4160.62
8/19/2017,4193.7
8/20/2017,4087.66
8/21/2017,4001.74
8/22/2017,4100.52
8/23/2017,4151.52
8/24/2017,4334.68
8/25/2017,4371.6
8/26/2017,4352.4
8/27/2017,4382.88
8/28/2017,4382.66
8/29/2017,4579.02
8/30/2017,4565.3
8/31/2017,4703.39
9/1/2017,4892.01
9/2/2017,4578.77
9/3/2017,4582.96
9/4/2017,4236.31
9/5/2017,4376.53
9/6/2017,4597.12
9/7/2017,4599.88
9/8/2017,4228.75
9/9/2017,4226.06
9/10/2017,4122.94
9/11/2017,4161.27
9/12/2017,4130.81
9/13/2017,3882.59
9/14/2017,3154.95
9/15/2017,3637.52
9/16/2017,3625.04
9/17/2017,3582.88
9/18/2017,4065.2
9/19/2017,3924.97
9/20/2017,3905.95
9/21/2017,3631.04
9/22/2017,3630.7
9/23/2017,3792.4
9/24/2017,3682.84
9/25/2017,3926.07
9/26/2017,3892.35
9/27/2017,4200.67
9/28/2017,4174.73
9/29/2017,4163.07
9/30/2017,4338.71
10/1/2017,4403.74
10/2/2017,4409.32
10/3/2017,4317.48
10/4/2017,4229.36
10/5/2017,4328.41
10/6/2017,4370.81
10/7/2017,4426.89
10/8/2017,4610.48
10/9/2017,4772.02
10/10/2017,4781.99
10/11/2017,4826.48
10/12/2017,5446.91
10/13/2017,5647.21
10/14/2017,5831.79
10/15/2017,5678.19
10/16/2017,5725.59
10/17/2017,5605.51
10/18/2017,5590.69
10/19/2017,5708.52
10/20/2017,6011.45
10/21/2017,6031.6
10/22/2017,6008.42
10/23/2017,5930.32
10/24/2017,5526.64
10/25/2017,5750.8
10/26/2017,5904.83
10/27/2017,5780.9
10/28/2017,5753.09
10/29/2017,6153.85
10/30/2017,6130.53
10/31/2017,6468.4
11/1/2017,6767.31
11/2/2017,7078.5
11/3/2017,7207.76
11/4/2017,7379.95
11/5/2017,7407.41
11/6/2017,7022.76
11/7/2017,7144.38
11/8/2017,7459.69
11/9/2017,7143.58
11/10/2017,6618.14
11/11/2017,6357.6
11/12/2017,5950.07
11/13/2017,6559.49
11/14/2017,6635.75
11/15/2017,7315.54
11/16/2017,7871.69
11/17/2017,7708.99
11/18/2017,7790.15
11/19/2017,8036.49
11/20/2017,8200.64
11/21/2017,8071.26
11/22/2017,8253.55
11/23/2017,8038.77
11/24/2017,8253.69
11/25/2017,8790.92
11/26/2017,9330.55
11/27/2017,9818.35
11/28/2017,10058.8
11/29/2017,9888.61
11/30/2017,10233.6
12/1/2017,10975.6
12/2/2017,11074.6
12/3/2017,11323.2
12/4/2017,11657.2
12/5/2017,11916.7
12/6/2017,14291.5
12/7/2017,17899.7
12/8/2017,16569.4
12/9/2017,15178.2
12/10/2017,15455.4
12/11/2017,16936.8
12/12/2017,17415.4
12/13/2017,16408.2
12/14/2017,16564
12/15/2017,17706.9
12/16/2017,19497.4
12/17/2017,19140.8
12/18/2017,19114.2
12/19/2017,17776.7
12/20/2017,16624.6
12/21/2017,15802.9
12/22/2017,13831.8
12/23/2017,14699.2
12/24/2017,13925.8
12/25/2017,14026.6
12/26/2017,16099.8
12/27/2017,15838.5
12/28/2017,14606.5
12/29/2017,14656.2
12/30/2017,12952.2
12/31/2017,14156.4
1/1/2018,13657.2
1/2/2018,14982.1
1/3/2018,15201
1/4/2018,15599.2
1/5/2018,17429.5
1/6/2018,17527
1/7/2018,16477.6
1/8/2018,15170.1
1/9/2018,14595.4
1/10/2018,14973.3
1/11/2018,13405.8
1/12/2018,13980.6
1/13/2018,14360.2
1/14/2018,13772
1/15/2018,13819.8
1/16/2018,11490.5
1/17/2018,11188.6
1/18/2018,11474.9
1/19/2018,11607.4
1/20/2018,12899.2
1/21/2018,11600.1
1/22/2018,10931.4
1/23/2018,10868.4
1/24/2018,11359.4
1/25/2018,11259.4
1/26/2018,11171.4
1/27/2018,11440.7
1/28/2018,11786.3
1/29/2018,11296.4
1/30/2018,10106.3
1/31/2018,10221.1
2/1/2018,9170.54
2/2/2018,8830.75
2/3/2018,9174.91
2/4/2018,8277.01
2/5/2018,6955.27
2/6/2018,7754
2/7/2018,7621.3
2/8/2018,8265.59
2/9/2018,8736.98
2/10/2018,8621.9
2/11/2018,8129.97
2/12/2018,8926.57
2/13/2018,8598.31
2/14/2018,9494.63
2/15/2018,10166.4
2/16/2018,10233.9
2/17/2018,11112.7
2/18/2018,10551.8
2/19/2018,11225.3
2/20/2018,11403.7
